,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Team,H/A/N,Conference,Opponent,Opponent Conference,Date,Location,Attendance,Non Conference Game,Neutral Site Game,Road Game,Top 25 Opponent,March Madness Opponent,NCON MM,Mid Major Opponent,Opponent Wins,Opponent Losses,Opponent Win Percentage,Opponent Won More than 20,Opponent Lost more than 15,Record Differential,Record Differential Squared,Win Differential Squared,SM,Line,(SM+Line)^2,(SM+Line+10)^2,Cover Spread,Largest Lead,Largest Deficit,Volatility,Lost as Favorite,Won as Underdog,Tournament Caliber Game ,Win Game within 8,Under .500 Opp min 5 games,15+ Win Within .150 WD min 5g,No double digit lead,Above 5 and below 15 leads,Beat line by double digits,Won by 20 against over .500 team,Within 10 line,Line over 20,Over/Under Line,Total Points,Player Points given up,Opp Coach Value,Opp Historical Value,Standard Point,Game Coding,Potential Game Coding Next Season,Personal Score Thought,"THINK ABOUT ON THE ROAD FAVORITES, within 10 line, 20+ line, power conference vs power conference, actually name the conference for opponent, road x conference, add attendance back,  ranked opponents, top 5, top 10, (sm+line+10)^2 vs ranked, lead/deficit both within 15, both l/d between 7-15, wins by top 25 opponent, actively in bracketology?, power non conference road game, add opponent coach rating",SOS Median,SOS Min,SOS Max,SOS STDEV,SOS SUM
Coppin St.,,,,,,,,,,,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.227891052152,31.227891052152,31.227891052152,–,31.227891052152
,Coppin St.,HOME,MEAC,Maryland,Big Ten,"November 3, 2025","Baltimore, MD",0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,-22,28.5,42.25,272.25,1,2,30,60,0,0,0,0,0,0,0,0,1,0,0,1,139.5,144,0,5.4982052152,5.405,1,111,22111,15,,31.227891052152,31.227891052152,31.227891052152,31.227891052152,31.227891052152
Cornell,,,,,,,,,,,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,–,0
,Cornell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Creighton,,,,,,,,,,,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,–,0
,Creighton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Dartmouth,,,,,,,,,,,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,–,0
,Dartmouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Davidson,,,,,,,,,,,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,–,0
,Davidson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Dayton,,,,,,,,,,,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,–,0
,Dayton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Delaware,,,,,,,,,,,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,–,0
,Delaware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Delaware St.,,,,,,,,,,,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,–,0
,Delaware St.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Denver,,,,,,,,,,,,,,,1,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.05863617024,17.05863617024,17.05863617024,–,17.05863617024
,Denver,AWAY,Summit,Seattle,WCC,"November 3, 2025","Seattle, WA",957,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,-11,13.5,6.25,156.25,1,3,16,48,0,0,0,0,0,0,0,0,0,0,0,0,136.5,157,0,2.888417024,8.942,1,212,21212,25,,17.05863617024,17.05863617024,17.05863617024,17.05863617024,17.05863617024
DePaul,,,,,,,,,,,,,,,1,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.2132307592826,10.2132307592826,10.2132307592826,–,10.2132307592826
,DePaul,HOME,Big East,Chicago St.,NEC,"November 3, 2025","Chicago, IL","3,495",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,30,-24.5,30.25,240.25,1,31,0,0,0,0,0,0,0,1,0,0,1,0,0,1,143.5,154,0,43.4991759282606,-9.808,1,112,21112,30,,10.2132307592826,10.2132307592826,10.2132307592826,10.2132307592826,10.2132307592826
Detroit Mercy,,,,,,,,,,,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,–,0
,Detroit Mercy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Drake,,,,,,,,,,,,,,,1,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.7202761980281,-9.7202761980281,-9.7202761980281,–,-9.7202761980281
,Drake,NEUTRAL,Missouri Valley,Northern Arizona,Big Sky,"November 3, 2025","Sioux Falls, SD",1420,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,6,-8.5,-6.25,56.25,0,9,11,99,0,0,0,1,0,0,0,1,0,0,1,0,144.5,148,0,51.5520801971905,73.492,1,312,21312,40,,-9.7202761980281,-9.7202761980281,-9.7202761980281,-9.7202761980281,-9.7202761980281
Drexel,,,,,,,,,,,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,–,0
,Drexel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Duke,,,,,,,,,,,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.2408313870402,16.2408313870402,16.2408313870402,–,16.2408313870402
,Duke,NEUTRAL,ACC,Texas,SEC,"November 4, 2025","Charlotte, NC","12,435",1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,15,-10.5,20.25,210.25,1,17,4,68,0,0,0,0,0,1,0,0,1,0,0,0,153.5,135,0,84.8348387040242,100.08,1,311,22311,45,,16.2408313870402,16.2408313870402,16.2408313870402,16.2408313870402,16.2408313870402
Duquesne,,,,,,,,,,,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,–,0
,Duquesne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
East Carolina,,,,,,,,,,,,,,,1,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.364779705578,-3.364779705578,-3.364779705578,–,-3.364779705578
,East Carolina,HOME,American,Georgia Southern,Sun Belt,"November 4, 2025","Greenville, NC","3,259",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,-5.5,-6.25,56.25,0,10,4,40,0,0,0,1,0,0,0,0,0,0,1,0,151.5,181,0,29.1104294422,10.865,1,112,21112,0,,-3.364779705578,-3.364779705578,-3.364779705578,-3.364779705578,-3.364779705578
East Tennessee St.,,,,,,,,,,,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,–,0
,East Tennessee St.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
East Texas A&M,,,,,,,,,,,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,–,0
,East Texas A&M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Eastern Illinois,,,,,,,,,,,,,,,1,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.748026414936,15.748026414936,15.748026414936,–,15.748026414936
,Eastern Illinois,AWAY,Ohio Valley,Valparaiso,Missouri Valley,"November 4, 2025","Valparaiso, IN","1,095",1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,-3,5.5,6.25,156.25,1,2,13,26,0,0,0,0,0,0,0,0,0,0,1,0,144.5,129,0,18.8512414936,6.876,1,212,21212,30,,15.748026414936,15.748026414936,15.748026414936,15.748026414936,15.748026414936
Eastern Kentucky,,,,,,,,,,,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,–,0
,Eastern Kentucky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Eastern Michigan,,,,,,,,,,,,,,,1,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.9796628642796,57.9796628642796,57.9796628642796,–,57.9796628642796
,Eastern Michigan,HOME,MAC,Georgia St.,Sun Belt,"November 3, 2025","Ypsilanti, MI",1729,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,22,-3.5,342.25,812.25,1,22,3,66,0,0,0,0,0,1,0,0,1,0,1,0,149.5,120,0,12.6757864279556,7.553,1,112,21112,60,,57.9796628642796,57.9796628642796,57.9796628642796,57.9796628642796,57.9796628642796
Eastern Washington,,,,,,,,,,,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.614508691543,139.614508691543,139.614508691543,–,139.614508691543
,Eastern Washington,AWAY,Big Sky,UCLA,Big Ten,"November 3, 2025","Los Angeles, CA",3615,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,-6,29.5,552.25,1122.25,1,3,15,45,0,0,0,0,0,0,0,0,1,0,0,1,149.5,154,0,39.0121691543097,18.485,1,221,22221,65,,139.614508691543,139.614508691543,139.614508691543,139.614508691543,139.614508691543
Elon,,,,,,,,,,,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,–,0
,Elon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Evansville,,,,,,,,,,,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.489202860106,23.489202860106,23.489202860106,–,23.489202860106
,Evansville,AWAY,Missouri Valley,Purdue,Big Ten,"November 4, 2025","West Lafayette, IN","14,876",1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,-31,33.5,6.25,156.25,1,4,38,152,0,0,0,0,0,0,0,0,0,0,0,1,150.5,133,0,8.6701860106,13.367,1,221,22221,20,,23.489202860106,23.489202860106,23.489202860106,23.489202860106,23.489202860106
Fairfield,,,,,,,,,,,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,–,0
,Fairfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Fairleigh Dickinson,,,,,,,,,,,,,,,1,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.475442190056,31.475442190056,31.475442190056,–,31.475442190056
,Fairleigh Dickinson,AWAY,NEC,Iowa St.,Big 12,"November 3, 2025","Ames, IA",13332,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,-38,37.5,-0.25,90.25,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,1,147.5,138,0,19.2834190056,21.385,1,222,22222,5,,31.475442190056,31.475442190056,31.475442190056,31.475442190056,31.475442190056
FIU,,,,,,,,,,,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,–,0
,FIU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Florida,,,,,,,,,,,,,,,1,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-23.6658231343387,-23.6658231343387,-23.6658231343387,–,-23.6658231343387
,Florida,NEUTRAL,SEC,Arizona,Big 12,"November 3, 2025","Las Vegas, NV",—,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,-6,-3.5,-90.25,0.25,0,12,9,108,1,0,0,0,0,0,0,1,0,0,1,0,164.5,180,0,81.2754865661333,71.244,1,322,22322,75,,-23.6658231343387,-23.6658231343387,-23.6658231343387,-23.6658231343387,-23.6658231343387
Florida A&M,,,,,,,,,,,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,–,0
,Florida A&M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Florida Atlantic,,,,,,,,,,,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,–,0
,Florida Atlantic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Florida Gulf Coast,,,,,,,,,,,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,–,0
,Florida Gulf Coast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Florida St.,,,,,,,,,,,,,,,1,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.12370600274,-5.12370600274,-5.12370600274,–,-5.12370600274
,Florida St.,HOME,ACC,Alcorn St.,SWAC,"November 4, 2025","Tallahassee, FL","5,397",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,32,-27.5,20.25,210.25,1,34,3,102,0,0,0,0,0,1,0,0,1,0,0,1,156.5,184,0,12.344499726,6.403,1,112,21112,15,,-5.12370600274,-5.12370600274,-5.12370600274,-5.12370600274,-5.12370600274
Fordham,,,,,,,,,,,,,,,1,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-57.82271852521,-57.82271852521,-57.82271852521,–,-57.82271852521
,Fordham,HOME,A10,NJIT,American East,"November 4, 2025","Bronx, NY","1,008",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-11,-14.5,-650.25,-240.25,0,5,13,65,1,0,0,0,0,0,0,1,0,0,0,0,147.5,133,0,25.125647479,9.418,1,112,21112,0,,-57.82271852521,-57.82271852521,-57.82271852521,-57.82271852521,-57.82271852521
Fresno St.,,,,,,,,,,,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,–,0
,Fresno St.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Furman,,,,,,,,,,,,,,,1,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-36.0847210145884,-36.0847210145884,-36.0847210145884,–,-36.0847210145884
,Furman,NEUTRAL,Southern,High Point,Big South,"November 3, 2025","Rock Hill, SC",473,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,-26,3.5,-506.25,-156.25,0,3,32,96,0,0,0,0,0,0,0,0,0,0,1,0,153.5,168,0,62.6991985411556,41.248,1,312,22312,10,,-36.0847210145884,-36.0847210145884,-36.0847210145884,-36.0847210145884,-36.0847210145884
Gardner Webb,,,,,,,,,,,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,–,0
,Gardner Webb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
George Mason,,,,,,,,,,,,,,,1,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0600697020373,30.0600697020373,30.0600697020373,–,30.0600697020373
,George Mason,HOME,A10,Wofford,Southern,"November 3, 2025","Fairfax, VA",3009,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,24,-14.5,90.25,380.25,1,24,0,0,0,0,0,0,0,1,0,0,1,0,0,0,140.5,116,0,36.0947702037333,25.267,1,112,22112,35,,30.0600697020373,30.0600697020373,30.0600697020373,30.0600697020373,30.0600697020373
George Washington,,,,,,,,,,,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,–,0
,George Washington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Georgetown,,,,,,,,,,,,,,,1,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-39.6405122261421,-39.6405122261421,-39.6405122261421,–,-39.6405122261421
,Georgetown,HOME,Big East,Morgan St.,MEAC,"November 3, 2025","Washington, DC",4208,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,17,-27.5,-110.25,-0.25,0,29,6,174,0,0,0,0,0,1,0,0,0,0,0,1,154.5,157,0,44.7757773857925,-0.594,1,112,21112,10,,-39.6405122261421,-39.6405122261421,-39.6405122261421,-39.6405122261421,-39.6405122261421
Georgia,,,,,,,,,,,,,,,1,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.7590206555754,45.7590206555754,45.7590206555754,–,45.7590206555754
,Georgia,HOME,SEC,Bellarmine,ASUN,"November 3, 2025","Athens, GA","6,187",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,45,-23.5,462.25,992.25,1,45,4,180,0,0,0,0,0,1,0,0,1,0,0,1,150.5,163,0,68.118565557542,16.086,1,112,21112,35,,45.7590206555754,45.7590206555754,45.7590206555754,45.7590206555754,45.7590206555754
Georgia Southern,,,,,,,,,,,,,,,1,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.184770822532,14.184770822532,14.184770822532,–,14.184770822532
,Georgia Southern,AWAY,Sun Belt,East Carolina,American,"November 4, 2025","Greenville, NC","3,259",1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,-3,5.5,6.25,156.25,1,4,10,40,0,0,0,0,0,0,0,0,0,0,1,0,151.5,181,0,27.3373822532,12.459,1,212,21212,75,,14.184770822532,14.184770822532,14.184770822532,14.184770822532,14.184770822532
Georgia St.,,,,,,,,,,,,,,,1,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-25.778106381516,-25.778106381516,-25.778106381516,–,-25.778106381516
,Georgia St.,AWAY,Sun Belt,Eastern Michigan,MAC,"November 3, 2025","Ypsilanti, MI",1729,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,-22,3.5,-342.25,-72.25,0,3,22,66,0,0,0,0,0,0,0,0,0,0,1,0,149.5,120,0,16.0420618484,14.55,1,212,21212,10,,-25.778106381516,-25.778106381516,-25.778106381516,-25.778106381516,-25.778106381516
Georgia Tech,,,,,,,,,,,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,–,0
,Georgia Tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Gonzaga,,,,,,,,,,,,,,,1,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.1024784163073,52.1024784163073,52.1024784163073,–,52.1024784163073
,Gonzaga,HOME,WCC,Texas Southern,SWAC,"November 3, 2025","Spokane, WA",6000,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,55,-29.5,650.25,1260.25,1,57,5,285,0,0,0,0,0,1,0,0,1,0,0,1,157.5,141,0,212.666041630729,92.125,1,112,21112,20,,52.1024784163073,52.1024784163073,52.1024784163073,52.1024784163073,52.1024784163073
Grambling St.,,,,,,,,,,,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,–,0
,Grambling St.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Grand Canyon,,,,,,,,,,,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,–,0
,Grand Canyon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Green Bay,,,,,,,,,,,,,,,1,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7331217825,4.7331217825,4.7331217825,–,4.7331217825
,Green Bay,AWAY,Horizon,Kansas,Big 12,"November 3, 2025","Lawrence, KS",15300,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,-43,30.5,-156.25,-6.25,0,1,43,43,0,0,0,0,0,0,0,0,0,0,0,1,152.5,145,0,21.32997825,-0.455,1,222,22222,10,,4.7331217825,4.7331217825,4.7331217825,4.7331217825,4.7331217825
Hampton,,,,,,,,,,,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,–,0
,Hampton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Harvard,,,,,,,,,,,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,–,0
,Harvard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Hawaii,,,,,,,,,,,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.3479951210578,45.3479951210578,45.3479951210578,–,45.3479951210578
,Hawaii,AWAY,Big West,Oregon,Big Ten,"November 4, 2025","Eugene, OR","5,627",1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,-1,11.5,110.25,420.25,1,5,14,70,0,0,0,0,0,0,0,1,1,0,0,0,145.5,119,0,8.49961210578182,13.125,1,211,22211,5,,45.3479951210578,45.3479951210578,45.3479951210578,45.3479951210578,45.3479951210578
High Point,,,,,,,,,,,,,,,1,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.622146987754,78.622146987754,78.622146987754,–,78.622146987754
,High Point,NEUTRAL,Big South,Furman,Southern,"November 3, 2025","Rock Hill, SC",473,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,26,-3.5,506.25,1056.25,1,32,3,96,0,0,0,0,0,1,0,0,1,0,1,0,153.5,168,0,20.6295987754,35.312,1,312,21312,60,,78.622146987754,78.622146987754,78.622146987754,78.622146987754,78.622146987754
Hofstra,,,,,,,,,,,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,–,0
,Hofstra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Holy Cross,,,,,,,,,,,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,–,0
,Holy Cross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Houston,,,,,,,,,,,,,,,1,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-32.0605018688741,-32.0605018688741,-32.0605018688741,–,-32.0605018688741
,Houston,HOME,Big 12,Lehigh,Patriot,"November 3, 2025","Houston, TX",7035,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,18,-36.5,-342.25,-72.25,0,24,0,0,0,0,0,0,0,1,0,0,0,0,0,1,136.5,132,0,144.95091311259,121.81,1,112,21112,40,,-32.0605018688741,-32.0605018688741,-32.0605018688741,-32.0605018688741,-32.0605018688741
Houston Christian,,,,,,,,,,,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,–,0
,Houston Christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Howard,,,,,,,,,,,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.89620612444,8.89620612444,8.89620612444,–,8.89620612444
,Howard,HOME,MEAC,Missouri,SEC,"November 3, 2025","Washington, DC",2312,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,-21,20.5,-0.25,90.25,0,2,21,42,0,0,0,0,0,0,0,0,0,0,0,1,158.5,155,0,16.027712444,28.479,1,111,22111,10,,8.89620612444,8.89620612444,8.89620612444,8.89620612444,8.89620612444
Idaho,,,,,,,,,,,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,–,0
,Idaho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Idaho St.,,,,,,,,,,,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,–,0
,Idaho St.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Illinois,,,,,,,,,,,,,,,1,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.350260740369,106.350260740369,106.350260740369,–,106.350260740369
,Illinois,HOME,Big Ten,Jackson St.,SWAC,"November 3, 2025","Champaign, IL",14511,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,58,-28.5,870.25,1560.25,1,58,0,0,0,0,0,0,0,1,0,0,1,0,0,1,157.5,168,0,92.9796740369462,72.011,1,112,21112,15,,106.350260740369,106.350260740369,106.350260740369,106.350260740369,106.350260740369
Illinois Chicago,,,,,,,,,,,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,–,0
,Illinois Chicago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Illinois St.,,,,,,,,,,,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,–,0
,Illinois St.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Incarnate Word,,,,,,,,,,,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,–,0
,Incarnate Word,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Indiana,,,,,,,,,,,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,–,0
,Indiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Indiana St.,,,,,,,,,,,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,–,0
,Indiana St.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Iona,,,,,,,,,,,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,–,0
,Iona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Iowa,,,,,,,,,,,,,,,1,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.816606630174,22.816606630174,22.816606630174,–,22.816606630174
